%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82183.058,300.474,0.953,9.765,45.426,-0.168,36.378,39.301,41.531,41.718,42.07,38.99,38.297,38.934,40.707,42.066,43.632,38.09,44.288,42.286,41.215,39.706,-0.048,-0.005,0.208,-0.001,535.048,336.269
82195.152,300.475,0.953,9.772,45.505,-0.008,37.352,38.966,41.21,41.927,41.313,39.198,38.617,38.612,40.707,42.379,44.794,37.345,44.288,42.914,40.904,40.157,-0.017,-0.043,0.218,0,535.048,336.269
82187.089,300.475,0.953,9.79,45.663,-0.168,37.461,39.413,41.21,41.718,42.394,38.366,37.976,38.398,40.483,41.857,43.526,38.409,44.288,42.286,41.527,39.481,-0.006,-0.024,0.187,0,535.048,336.269
82203.215,300.477,0.953,9.755,45.347,-0.168,37.028,39.524,41.853,42.032,42.286,39.198,37.976,38.934,40.26,41.649,44.371,38.09,44.602,41.867,41.111,40.157,-0.048,0.014,0.187,0,535.048,336.269
82199.184,300.477,0.953,9.764,45.426,-0.168,36.161,39.078,41.317,42.032,42.611,38.886,38.19,38.29,40.595,41.649,43.738,37.771,44.602,42.6,40.592,38.917,-0.017,-0.024,0.187,-0.001,535.048,336.269
82191.121,300.477,0.953,9.764,45.426,-0.008,37.352,38.296,41.21,41.613,42.286,38.678,38.297,38.505,40.595,42.066,44.266,37.451,44.288,42.704,40.696,40.157,-0.017,-0.024,0.197,0,535.048,336.269
82179.027,300.474,0.953,15.124,108.966,-0.168,92.785,94.234,97.193,96.82,97.009,94.304,92.746,93.742,96.08,96.763,99.413,93.309,99.36,96.504,95.719,94.303,-0.006,-0.005,0.38,-0.001,535.048,336.269
82183.058,300.48,0.953,15.113,108.808,0.312,91.378,93.228,96.443,96.401,96.685,93.368,93.281,92.67,95.632,97.18,98.357,92.99,98.627,97.027,95.304,94.415,-0.006,0.014,0.39,-0.001,535.048,336.269
82187.089,300.475,0.953,15.118,108.887,-0.008,91.053,93.228,96.015,96.61,96.793,92.848,92.425,93.635,94.514,96.241,98.885,92.458,99.151,96.818,95.823,93.851,-0.027,-0.005,0.37,-0.001,535.048,336.269
82187.089,300.477,0.953,15.129,109.045,-0.008,91.269,92.67,94.73,95.983,95.711,92.328,91.998,92.134,94.514,94.988,96.983,91.288,97.371,95.248,94.058,92.498,0.025,-0.043,0.37,-0.001,535.048,336.269
82187.089,300.475,0.953,15.123,108.966,-0.008,89.645,92.223,94.623,94.31,95.171,91.912,91.035,91.705,93.395,95.197,97.195,91.181,97.789,94.829,94.681,92.836,-0.006,-0.024,0.38,-0.001,535.048,336.269
82183.058,300.475,0.953,15.134,109.124,-0.008,90.079,92.223,94.837,95.669,95.387,91.808,91.677,91.49,93.619,95.51,97.3,90.756,98.104,96.294,94.058,92.949,-0.006,-0.043,0.39,0,535.048,336.269
82191.121,300.477,0.953,15.128,109.045,-0.008,90.403,93.005,95.265,95.983,96.144,92.432,91.355,92.563,93.06,94.779,96.983,91.075,97.266,95.771,94.162,92.723,0.004,-0.005,0.36,0,535.048,336.269
82199.184,300.478,0.953,15.128,109.045,0.152,89.97,93.228,94.302,95.565,95.387,92.12,91.997,92.348,94.402,94.257,97.723,91.288,97.266,95.98,94.681,93.626,-0.006,-0.024,0.39,0,535.048,336.269
82183.058,300.475,0.953,15.129,109.045,-0.168,90.512,92.893,95.908,95.146,96.252,93.056,91.89,92.884,94.722,95.928,97.617,92.033,98.418,95.666,94.681,93.626,0.004,-0.024,0.38,0,535.048,336.269
82191.121,300.477,0.953,15.117,108.887,0.152,90.836,93.117,94.944,96.192,95.603,92.536,91.783,91.704,94.051,95.301,97.828,90.969,97.894,96.504,93.85,93.739,-0.006,-0.005,0.37,-0.001,535.048,336.269
82183.058,300.475,0.953,15.129,109.045,-0.168,90.728,92.67,94.623,95.774,96.144,92.328,92.104,92.991,94.051,96.031,98.357,92.352,98.732,96.608,94.992,93.062,-0.006,-0.005,0.39,-0.001,535.048,336.269
82183.058,300.474,0.953,15.129,109.045,0.152,91.161,93.898,94.516,96.61,96.252,92.848,92.532,93.099,95.058,95.301,98.463,92.884,98.836,97.236,94.992,94.979,0.004,-0.043,0.39,-0.001,535.048,336.269
82191.121,300.474,0.953,15.128,109.045,-0.008,91.378,94.01,95.908,95.983,96.901,93.679,93.067,93.528,95.17,96.449,98.674,92.99,99.151,96.713,95.927,95.205,-0.006,-0.024,0.38,0,535.048,336.269
82187.089,300.475,0.953,15.129,109.045,0.152,92.46,94.122,96.229,97.237,96.036,93.575,93.281,93.635,95.393,96.553,99.096,92.777,99.046,97.326,95.304,94.641,0.004,-0.024,0.38,-0.001,535.048,336.269
